I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.6171067652190108,0.5835289079924911,0.583528907992491,50.48488914966583
20,20,3,2,0.7252696542016718,0.6948342174744052,0.6948342174744052,48.510944437980655
20,20,2,3,0.5196583711619728,0.49694126711376435,0.49694126711376435,73.56783339977264
40,40,2,2,0.5625024794785913,0.5901323348142568,0.5901323348142568,77.07264986038209
40,40,3,2,0.672903912126183,0.6773206150293011,0.6773206150293011,77.83007335662842
40,40,2,3,0.46700708801888935,0.46428731472026435,0.46428731472026447,78.01278731822967
60,60,2,2,0.5448201926616999,0.5831977652532818,0.5831977652532819,82.00769617557526
60,60,3,2,0.6511720778353365,0.6639336894365924,0.6639336894365923,82.97334325313568
60,60,2,3,0.4515964317350144,0.46303933627409055,0.46303933627409055,86.68028218746186
80,80,2,2,0.5361325652507992,0.5849647959219562,0.5849647959219563,69.8230985879898
80,80,3,2,0.6401558753405814,0.6572422891214,0.6572422891214,65.14547710418701
80,80,2,3,0.4415815728332797,0.48455895601745186,0.48455895601745186,59.79713435173035
100,100,2,2,0.5291779798048264,0.565886483721459,0.565886483721459,72.83260354995727
100,100,3,2,0.6376751435684529,0.6714232856464282,0.6714232856464282,103.57421956062316
100,100,2,3,0.434653885057671,0.46027064817720265,0.46027064817720253,78.36170616149903
