I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.5032237101468828,0.502963167000607,0.502963167000607,110.18098244667053
20,20,3,2,0.602502107310255,0.6023288181834806,0.6023288181834806,101.12339112758636
20,20,2,3,0.4041733568166995,0.4040307337503539,0.4040307337503539,94.10188581943513
40,40,2,2,0.5029144883547422,0.502577104432037,0.502577104432037,95.87791829109192
40,40,3,2,0.6023751132389871,0.6022568458048012,0.6022568458048012,96.96882920265197
40,40,2,3,0.4026756107838704,0.4021822269279882,0.4021822269279882,95.47576427459717
60,60,2,2,0.5011918132090071,0.501108890765146,0.5011088907651459,95.0865234375
60,60,3,2,0.6010728362400191,0.6011678503085096,0.6011678503085096,90.58830568790435
60,60,2,3,0.40123992632991723,0.4011122964857276,0.4011122964857276,90.74586045742035
80,80,2,2,0.5006940445275033,0.5009173632862041,0.5009173632862041,91.10639660358429
80,80,3,2,0.5997876659564444,0.6002751436179263,0.6002751436179262,90.96819400787354
80,80,2,3,0.4011166003602077,0.4010466640922313,0.4010466640922313,90.82322804927826
100,100,2,2,0.5006118886541115,0.500613424322851,0.500613424322851,91.27787792682648
100,100,3,2,0.5998941717882729,0.6004791946021293,0.6004791946021293,91.4117445230484
100,100,2,3,0.4007661082198057,0.40084962463068485,0.40084962463068485,91.54053010940552
200,200,2,2,0.5000017904808718,0.5002200696849604,0.5002200696849604,230.53724343776702
200,200,3,2,0.5996946449907726,0.6002598963708144,0.6002598963708144,230.5422941684723
200,200,2,3,0.4002996258353533,0.4004255065248194,0.4004255065248194,230.81957216262816
300,300,2,2,0.5000025406817326,0.5002473269756017,0.5002473269756018,237.32888486385346
300,300,3,2,0.599763246615388,0.6001074998232652,0.6001074998232652,284.1023284912109
300,300,2,3,0.40027686122848366,0.40026116939444795,0.40026116939444795,256.58464267253873
