obj_relaxed=0.49369569198788577, obj_binary=0.4939022647794171, obj_ex=0.4939022647794171, time_sec=409.27849316596985
obj_relaxed=0.5020953301473493, obj_binary=0.5019024298599705, obj_ex=0.5019024298599705, time_sec=407.65058517456055
obj_relaxed=0.5091161016379708, obj_binary=0.5097051439938376, obj_ex=0.5097051439938376, time_sec=408.45981073379517
obj_relaxed=0.5039997978097968, obj_binary=0.5042310624962107, obj_ex=0.5042310624962107, time_sec=409.28242921829224
obj_relaxed=0.5044858347806105, obj_binary=0.5045805798102488, obj_ex=0.5045805798102488, time_sec=407.5332078933716
obj_relaxed=0.48830438713576874, obj_binary=0.48885790761413506, obj_ex=0.488857907614135, time_sec=407.64259481430054
obj_relaxed=0.49879873564437405, obj_binary=0.49889352186044256, obj_ex=0.49889352186044256, time_sec=392.4110779762268
obj_relaxed=0.4982051523235109, obj_binary=0.49827140109989676, obj_ex=0.49827140109989676, time_sec=226.08483695983887
obj_relaxed=0.5046181540390404, obj_binary=0.5047332259538384, obj_ex=0.5047332259538384, time_sec=221.28324794769287
obj_relaxed=0.5073348864969366, obj_binary=0.5072676939314704, obj_ex=0.5072676939314703, time_sec=325.6231470108032
