I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.5840174276773821,0.5636279378242731,0.5636279378242731,139.39718480110167
20,20,3,2,0.6573920242732166,0.6326081975615626,0.6326081975615626,139.76529176235198
20,20,2,3,0.5044720180051845,0.4608950362341474,0.4608950362341474,140.56811616420745
40,40,2,2,0.5401638687208823,0.5444229601542282,0.5444229601542282,144.15751686096192
40,40,3,2,0.6402577514140828,0.6343259806940331,0.6343259806940331,143.73453159332274
40,40,2,3,0.4648420738139324,0.4482586639215681,0.4482586639215681,143.69355204105378
60,60,2,2,0.5393034491034139,0.555686985353381,0.555686985353381,150.49665596485139
60,60,3,2,0.6216401887522546,0.6082421073722581,0.6082421073722581,143.09592626094818
60,60,2,3,0.4720006898187917,0.47511340739721,0.47511340739721,142.11813883781434
80,80,2,2,0.5317828575128956,0.5393600413240544,0.5393600413240541,148.2805573940277
80,80,3,2,0.6041491865587205,0.6190000541643425,0.6190000541643425,148.34437634944916
80,80,2,3,0.4498749631151737,0.47138479118864984,0.47138479118864984,147.78394412994385
100,100,2,2,0.5250997578767114,0.5436413002082222,0.5436413002082222,155.73012340068817
100,100,3,2,0.601413420835042,0.6118788698049109,0.6118788698049109,156.0174324274063
100,100,2,3,0.45422005077708005,0.48730335194897345,0.48730335194897345,156.0063958644867
