instance_id,run,I,J,p,r,beta,theta,time_sec,status,nodes_explored,gap_bound,total_cuts,total_bulge,total_submod,x_best_sites
2,5,20,20,3,2,0.1,0.61929281,13.655191421508789,optimal,81,0.0,98,91,7,[0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2,6,20,20,3,2,0.1,0.62666111,8.907254934310913,optimal,37,0.0,75,73,2,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
2,7,20,20,3,2,0.1,0.63783731,18.712319374084473,optimal,81,0.0,139,125,14,[0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
2,8,20,20,3,2,0.1,0.63200309,14.164957761764526,optimal,59,0.0,111,99,12,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
2,9,20,20,3,2,0.1,0.65757775,5.193493843078613,optimal,29,0.0,51,46,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1.]
3,0,20,20,2,3,0.1,0.43976635,7.02700138092041,optimal,33,0.0,73,62,11,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0.]
3,1,20,20,2,3,0.1,0.44228635,4.5851523876190186,optimal,25,0.0,48,41,7,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,2,20,20,2,3,0.1,0.44703085,4.56680154800415,optimal,25,0.0,48,38,10,[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,3,20,20,2,3,0.1,0.44653692,4.613156080245972,optimal,27,0.0,45,41,4,[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,4,20,20,2,3,0.1,0.44633807,4.2324910163879395,optimal,21,0.0,50,45,5,[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,5,20,20,2,3,0.1,0.44267975,3.4486634731292725,optimal,19,0.0,39,32,7,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
3,6,20,20,2,3,0.1,0.43207736,4.181586980819702,optimal,23,0.0,47,40,7,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
3,7,20,20,2,3,0.1,0.43974031,9.090753078460693,optimal,43,0.0,83,71,12,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
3,8,20,20,2,3,0.1,0.44471855,3.6819326877593994,optimal,19,0.0,40,32,8,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,9,20,20,2,3,0.1,0.48968116,3.081969976425171,optimal,15,0.0,35,31,4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1.]
4,0,40,40,2,2,0.1,0.61353696,3.732775926589966,optimal,17,0.0,37,34,3,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]"
4,1,40,40,2,2,0.1,0.53529115,16.990691423416138,optimal,71,0.0,103,100,3,"[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
4,2,40,40,2,2,0.1,0.52376251,61.54896783828735,optimal,151,0.0,268,227,41,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0.]"
4,3,40,40,2,2,0.1,0.5262921,27.087684869766235,optimal,113,0.0,118,111,7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
4,4,40,40,2,2,0.1,0.52667232,19.300410270690918,optimal,77,0.0,103,96,7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
4,5,40,40,2,2,0.1,0.53656661,4.979172468185425,optimal,21,0.0,47,40,7,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
