I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.6127160532590781,0.5706560724883907,0.5706560724883906,54.34267258644104
20,20,3,2,0.7310921700204867,0.7064729018852633,0.7064729018852633,53.86857907772064
20,20,2,3,0.5299087408699381,0.48412633595077237,0.48412633595077237,53.63759310245514
40,40,2,2,0.565957568167091,0.5942028502152769,0.5942028502152769,55.15494337081909
40,40,3,2,0.6702167419596081,0.6882540973299783,0.6882540973299784,54.94647474288941
40,40,2,3,0.46924250981895754,0.48121962760077575,0.48121962760077575,55.589486837387085
60,60,2,2,0.545168992958563,0.5692977459637045,0.5692977459637045,57.5992650270462
60,60,3,2,0.6493452859185899,0.6571823849026531,0.6571823849026531,57.468649411201476
60,60,2,3,0.4496445969771914,0.4465037040932239,0.4465037040932239,57.56455461978912
80,80,2,2,0.5364678149679389,0.5912395758377992,0.5912395758377992,59.43504641056061
80,80,3,2,0.6425057494562991,0.6704490651739968,0.6704490651739967,59.28672182559967
80,80,2,3,0.4409648880341347,0.46090099642108584,0.46090099642108584,59.26538224220276
100,100,2,2,0.5313189366173757,0.567478572098468,0.5674785720984679,62.79199514389038
100,100,3,2,0.6347267764227827,0.6469302909043102,0.6469302909043102,62.79950838088989
100,100,2,3,0.4323866142222232,0.4538747424166149,0.4538747424166149,62.64744322299957
200,200,2,2,0.5182498066858912,0.5445704148020842,0.5445704148020842,95.76875095367431
300,300,2,2,0.5120923695247728,0.5502439540623562,0.5502439540623562,273.0953837633133
400,400,2,2,0.509658062995468,0.5597605656470195,0.5597605656470195,783.7710903644562
500,500,2,2,0.5080910568812758,0.516497711401455,0.516497711401455,1191.7380528211593
