I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.6095407799243022,0.6081661777831825,0.6081661777831824,49.18537821769714
20,20,3,2,0.7292405473364729,0.7135627063664589,0.7135627063664588,49.118763303756715
20,20,2,3,0.5337915870592106,0.44940008362925843,0.4494000836292583,48.95844180583954
40,40,2,2,0.5644524396384832,0.5922987866990679,0.5922987866990679,50.180949902534486
40,40,3,2,0.6748800235392403,0.7013448255187382,0.7013448255187382,50.06567838191986
40,40,2,3,0.4728892560019176,0.47530588697238896,0.47530588697238896,50.14691565036774
60,60,2,2,0.5496802331826971,0.5900783895535933,0.5900783895535934,52.64916141033173
60,60,3,2,0.6499027243633221,0.6638282886532535,0.6638282886532535,52.561717534065245
60,60,2,3,0.45081054146840743,0.4951788239763154,0.4951788239763154,52.60055568218231
80,80,2,2,0.5351443927616304,0.5972944387037813,0.5972944387037813,54.74513247013092
80,80,3,2,0.6422289465744597,0.6675472044624414,0.6675472044624413,54.72819044589996
80,80,2,3,0.43854957404617173,0.4649963541934562,0.4649963541934562,53.380593585968015
100,100,2,2,0.5294397917935011,0.5455559868404775,0.5455559868404776,56.16114797592163
100,100,3,2,0.6346347266470035,0.6732289325246822,0.6732289325246823,56.07919652462006
100,100,2,3,0.43580307304746446,0.47304695618981596,0.473046956189816,56.033053159713745
