I,J,p,r,beta,instance_id,run,x,theta,obj,status,iterations,cuts,cuts_log,selected_sites,time_sec
20,20,2,2,0.1,2,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.52552038,0.52552038,1,8,14,"[('bulge', 0.3862500961819045), ('submod', 0.3862500961819045), ('bulge', 0.49736309007063434), ('submod', 0.49736309007063434), ('bulge', 0.5236364312113214), ('submod', 0.5236364312113214), ('bulge', 0.4744796174325099), ('submod', 0.4744796174325099), ('bulge', 0.4763635687886785), ('submod', 0.4763635687886785), ('bulge', 0.5255203825674901), ('submod', 0.5255203825674901), ('bulge', 0.5026369099293656), ('submod', 0.5026369099293656)]","[0, 16]",0.5678808689117432
20,20,2,2,0.1,2,1,[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.52577008,0.52577008,1,11,20,"[('bulge', 0.3303413829135856), ('submod', 0.3303413829135856), ('bulge', 0.49206111052274865), ('submod', 0.49206111052274865), ('bulge', 0.5257700822661318), ('submod', 0.5257700822661318), ('bulge', 0.5201972206704578), ('submod', 0.5201972206704578), ('bulge', 0.47422991773386824), ('submod', 0.47422991773386824), ('bulge', 0.47980277932954224), ('submod', 0.47980277932954224), ('bulge', 0.5079388894772514), ('submod', 0.5079388894772514), ('bulge', 0.45576775232730843), ('submod', 0.45576775232730843), ('bulge', 0.46927020461717955), ('submod', 0.46927020461717955), ('bulge', 0.4638776432425935), ('submod', 0.4638776432425935)]","[4, 6]",0.9207673072814941
20,20,2,2,0.1,2,2,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0.52268874,0.52268874,1,12,22,"[('bulge', 0.4677908757300113), ('submod', 0.4677908757300113), ('bulge', 0.5013893008892235), ('submod', 0.5013893008892235), ('bulge', 0.47731125821245557), ('submod', 0.47731125821245557), ('bulge', 0.513981044384083), ('submod', 0.513981044384083), ('bulge', 0.5226887417875444), ('submod', 0.5226887417875444), ('bulge', 0.48601895561591707), ('submod', 0.48601895561591707), ('bulge', 0.4842694839961347), ('submod', 0.4842694839961347), ('bulge', 0.45762230134364507), ('submod', 0.45762230134364507), ('bulge', 0.49277887506983925), ('submod', 0.49277887506983925), ('bulge', 0.49861069911077655), ('submod', 0.49861069911077655), ('bulge', 0.439286138282281), ('submod', 0.439286138282281)]","[0, 14]",1.1723971366882324
20,20,2,2,0.1,2,3,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0.61443229,0.61443229,1,8,14,"[('bulge', 0.5096239632222602), ('submod', 0.5096239632222602), ('bulge', 0.5694243619682156), ('submod', 0.5694243619682156), ('bulge', 0.5516677177120285), ('submod', 0.5516677177120285), ('bulge', 0.49961486067329935), ('submod', 0.49961486067329935), ('bulge', 0.44579849669847965), ('submod', 0.44579849669847965), ('bulge', 0.5569804781857839), ('submod', 0.5569804781857839), ('bulge', 0.605553658740847), ('submod', 0.605553658740847)]","[3, 14]",0.690744161605835
20,20,2,2,0.1,2,4,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.57258667,0.57258667,1,14,26,"[('bulge', 0.5131712216315734), ('submod', 0.5131712216315734), ('bulge', 0.5691233822445513), ('submod', 0.5691233822445513), ('bulge', 0.4701731542064244), ('submod', 0.4701731542064244), ('bulge', 0.49703948647506224), ('submod', 0.49703948647506224), ('bulge', 0.5698458127820673), ('submod', 0.5698458127820673), ('bulge', 0.5562169180264653), ('submod', 0.5562169180264653), ('bulge', 0.44857416024559404), ('submod', 0.44857416024559404), ('bulge', 0.5725866668132108), ('submod', 0.5725866668132108), ('bulge', 0.5506590579201338), ('submod', 0.5506590579201338), ('bulge', 0.5191731331663296), ('submod', 0.5191731331663296), ('bulge', 0.5311317880127581), ('submod', 0.5311317880127581), ('bulge', 0.5048449451821556), ('submod', 0.5048449451821556), ('bulge', 0.556487663030131), ('submod', 0.556487663030131)]","[5, 16]",1.5870716571807861
20,20,2,2,0.1,2,5,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5298941,0.5298941,1,11,20,"[('bulge', 0.41031907620755953), ('submod', 0.41031907620755953), ('bulge', 0.5190820654195438), ('submod', 0.5190820654195438), ('bulge', 0.5129316138038463), ('submod', 0.5129316138038463), ('bulge', 0.48887496525471646), ('submod', 0.48887496525471646), ('bulge', 0.5111250347452836), ('submod', 0.5111250347452836), ('bulge', 0.48706838619615367), ('submod', 0.48706838619615367), ('bulge', 0.4926077904438594), ('submod', 0.4926077904438594), ('bulge', 0.4809179345804562), ('submod', 0.4809179345804562), ('bulge', 0.5058627611701302), ('submod', 0.5058627611701302), ('bulge', 0.5298940954290745), ('submod', 0.5298940954290745)]","[5, 7]",0.9739561080932617
20,20,2,2,0.1,2,6,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.54346004,0.54346004,1,8,14,"[('bulge', 0.4446003544580686), ('submod', 0.4446003544580686), ('bulge', 0.499976437869572), ('submod', 0.499976437869572), ('bulge', 0.5236460034291291), ('submod', 0.5236460034291291), ('bulge', 0.5218594502803714), ('submod', 0.5218594502803714), ('bulge', 0.543460044725477), ('submod', 0.543460044725477), ('bulge', 0.5150526121948195), ('submod', 0.5150526121948195), ('bulge', 0.48183797251409066), ('submod', 0.48183797251409066)]","[5, 6]",0.6915750503540039
20,20,2,2,0.1,2,7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0.51070464,0.51070464,1,12,22,"[('bulge', 0.4539817698613377), ('submod', 0.4539817698613377), ('bulge', 0.5096575577121412), ('submod', 0.5096575577121412), ('bulge', 0.48929536254709743), ('submod', 0.48929536254709743), ('bulge', 0.4968095195130098), ('submod', 0.4968095195130098), ('bulge', 0.5077738125447936), ('submod', 0.5077738125447936), ('bulge', 0.4588209744233596), ('submod', 0.4588209744233596), ('bulge', 0.5005590269000821), ('submod', 0.5005590269000821), ('bulge', 0.49147042399459273), ('submod', 0.49147042399459273), ('bulge', 0.5026602474601277), ('submod', 0.5026602474601277), ('bulge', 0.5107046374529026), ('submod', 0.5107046374529026), ('bulge', 0.5079303279987203), ('submod', 0.5079303279987203)]","[10, 14]",1.2632904052734375
20,20,2,2,0.1,2,8,[0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.58381511,0.58381511,1,7,12,"[('bulge', 0.5109131571526679), ('submod', 0.5109131571526679), ('bulge', 0.5838151142146488), ('submod', 0.5838151142146488), ('bulge', 0.5605261507740222), ('submod', 0.5605261507740222), ('bulge', 0.5259604105746738), ('submod', 0.5259604105746738), ('bulge', 0.4672088926153596), ('submod', 0.4672088926153596), ('bulge', 0.44555867907236235), ('submod', 0.44555867907236235)]","[2, 5]",0.5920588970184326
20,20,2,2,0.1,2,9,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],0.53306456,0.53306456,1,12,22,"[('bulge', 0.43128156629043524), ('submod', 0.43128156629043524), ('bulge', 0.4969731115971313), ('submod', 0.4969731115971313), ('bulge', 0.5170660646129436), ('submod', 0.5170660646129436), ('bulge', 0.48708802483477465), ('submod', 0.48708802483477465), ('bulge', 0.5129119751652254), ('submod', 0.5129119751652254), ('bulge', 0.4829339353870564), ('submod', 0.4829339353870564), ('bulge', 0.3864209646969481), ('submod', 0.3864209646969481), ('bulge', 0.5068133127447945), ('submod', 0.5068133127447945), ('bulge', 0.5330645554416215), ('submod', 0.5330645554416215), ('bulge', 0.45688345716489687), ('submod', 0.45688345716489687), ('bulge', 0.45386803325762726), ('submod', 0.45386803325762726)]","[6, 11]",1.1239922046661377
