I,J,p,r,beta,theta,time_sec
10,10,2,2,0.1,0.558543243,0.5171606063842773
20,20,2,2,0.1,0.5677638569999999,0.7471655368804931
30,30,2,2,0.1,0.5580671650000001,1.7808704853057862
